"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"81","berlin","2020-13-10",156010,"Alexanderplatz",52.51554,13.42447,"Entire apartment","Entire home/apt",3,1,2,"$36.00",90,365,0,36,1080
"82","berlin","2020-13-10",157839,"Moabit West",52.53083,13.34221,"Private room in apartment","Private room",4,1,1,"$25.00",2,90,0,25,750
"83","berlin","2020-13-10",159454,"Wiesbadener Straße",52.47831,13.3114,"Entire apartment","Entire home/apt",5,2,3,"$161.00",2,730,16,161,2254
"84","berlin","2020-13-10",162111,"Rixdorf",52.47729,13.44618,"Private room in apartment","Private room",1,1,1,"$35.00",5,21,19,35,385
"85","berlin","2020-13-10",163411,"südliche Luisenstadt",52.49738,13.43637,"Entire apartment","Entire home/apt",4,2,4,"$110.00",5,60,0,110,3300
"86","berlin","2020-13-10",168615,"Blankenburg/Heinersdorf/Märchenland",52.58055,13.44539,"Entire apartment","Entire home/apt",3,1,2,"$49.00",2,1125,29,49,49
"87","berlin","2020-13-10",169907,"Friedenau",52.46981,13.33037,"Private room in apartment","Private room",2,1,1,"$30.00",1,730,0,30,900
"88","berlin","2020-13-10",170582,"Schloßstr.",52.46707,13.31318,"Private room in apartment","Private room",1,1,1,"$23.00",6,180,6,23,552
"89","berlin","2020-13-10",170652,"Brunnenstr. Nord",52.5453,13.39729,"Private room in apartment","Private room",2,1,1,"$50.00",5,21,27,50,150
"90","berlin","2020-13-10",171609,"Prenzlauer Berg Südwest",52.53523,13.41945,"Private room in lighthouse","Private room",2,1,1,"$65.00",3,21,28,65,130
"91","berlin","2020-13-10",171746,"Helmholtzplatz",52.54411,13.4141,"Entire apartment","Entire home/apt",2,1,1,"$58.00",4,30,21,54.2222222222222,488
"92","berlin","2020-13-10",173153,"Prenzlauer Berg Südwest",52.53055,13.40702,"Entire apartment","Entire home/apt",5,2,1,"$80.00",2,365,0,80,2400
"93","berlin","2020-13-10",174391,"Alexanderplatz",52.52886,13.39684,"Private room in apartment","Private room",2,1,1,"$42.00",1,730,0,42,1260
"94","berlin","2020-13-10",174547,"Alexanderplatz",52.511,13.41595,"Entire apartment","Entire home/apt",3,2,3,"$103.00",90,365,0,102.4,3072
"95","berlin","2020-13-10",174560,"Alexanderplatz",52.51073,13.41791,"Entire apartment","Entire home/apt",3,2,3,"$78.00",60,365,0,77.4,2322
"96","berlin","2020-13-10",174576,"Alexanderplatz",52.5094,13.41623,"Entire apartment","Entire home/apt",5,2,4,"$103.00",60,365,0,102.4,3072
"97","berlin","2020-13-10",174579,"Alexanderplatz",52.50905,13.41556,"Entire apartment","Entire home/apt",3,2,3,"$78.00",60,365,0,78.4,2352
"98","berlin","2020-13-10",175667,"Schöneberg-Süd",52.49138,13.34331,"Entire apartment","Entire home/apt",2,1,1,"$39.00",180,1000,0,39,1170
"99","berlin","2020-13-10",176342,"Südliche Friedrichstadt",52.50254,13.39134,"Entire apartment","Entire home/apt",8,3,6,"$157.00",1,90,18,155.583333333333,1867
"100","berlin","2020-13-10",176355,"Südliche Friedrichstadt",52.50254,13.39134,"Entire apartment","Entire home/apt",6,2,4,"$135.00",1,90,17,135,1755
"101","berlin","2020-13-10",176396,"Ost 2",52.57203,13.35079,"Private room in apartment","Private room",2,3,1,"$21.00",1,61,0,21.5,645
"102","berlin","2020-13-10",176852,"südliche Luisenstadt",52.493,13.44089,"Entire apartment","Entire home/apt",2,1,2,"$70.00",3,730,0,70,2100
"103","berlin","2020-13-10",177486,"Volkspark Wilmersdorf",52.47894,13.32716,"Entire apartment","Entire home/apt",3,1,2,"$59.00",2,1825,0,59,1770
